Update Date,10/10/2016,,
Target Date,10/17/2016,,
Symbol,Prediction,Return (%),Accuracy
GGB,1,-1.01,0
BAK,1,13.84,1
PBR,1,8.36,1
SID,1,3.58,1
ITUB,1,4.65,1
^BVSP,1,2.6,1
BBD,1,2.94,1
ERJ,1,5.01,1
USD/BRL,1,-0.59,0
BRFS,1,-4.7,0
IKNOWFIRST_AVG,,3.47,
S&P500,,-1.26,
