Update Date,10/3/2016,,
Target Date,10/17/2016,,
Symbol,Prediction,Return (%),Accuracy
TEVA,-1,-9.17,1
CTSH,-1,5.01,0
SMSI,-1,-7.88,1
ASNA,-1,-8.94,1
XOMA,-1,-23.52,1
VNR,-1,-43.29,1
ACOR,-1,-5.17,1
INSY,-1,-7.72,1
TPX,-1,-8.23,1
FGP,-1,-9.11,1
IKNOWFIRST_AVG,,11.8,
S&P500,,-1.93,
