Update Date,10/3/2016,,
Target Date,10/17/2016,,
Symbol,Prediction,Return (%),Accuracy
BAK,1,18.11,1
SID,1,15.22,1
UGP,1,3.43,1
BBD,1,10.62,1
BRFS,1,-0.06,0
CBD,1,3.84,1
CIG,1,6.18,1
VALE,1,3.27,1
GGB,1,8.46,1
GOL,1,19.09,1
IKNOWFIRST_AVG,,8.82,
S&P500,,-1.93,
