Update Date,2/5/2017,,
Target Date,2/12/2017,,
Symbol,Prediction,Return (%),Accuracy
EXEL,1,8.98,1
AMD,1,10.95,1
VRX,1,5.77,1
KEM,1,3.83,1
GOL,1,11.46,1
CPST,1,-1.32,0
ARIA,1,0.21,1
SPWR,1,2.29,1
NVAX,1,0.75,1
NWBO,1,12.2,1
IKNOWFIRST_AVG,,5.51,
S&P500,,0.81,
,,,
,,,
,,,
,,,
CLD,-1,3.51,0
CLF,-1,26.85,0
NAV,-1,-1.26,1
CGG,-1,-4.93,1
AKS,-1,3.2,0
BCRX,-1,-2.25,1
CIE,-1,-15.38,1
TDW,-1,-29.61,1
DUST,-1,-10.14,1
VNR,-1,-33.33,1
IKNOWFIRST_AVG,,6.33,
S&P500,,0.81,
