Update Date,10/10/2016,,
Target Date,10/17/2016,,
Symbol,Prediction,Return (%),Accuracy
UK 10Y,1,15.12,1
Canada 10Y,1,4.36,1
^FVX,1,-1.1,0
US 10Y,1,2.61,1
Australia 10Y,1,5.46,1
Hong Kong 10Y,1,3.74,1
Norway 10Y,1,6.13,1
^TNX,1,1.73,1
New Zealand 10Y,1,1.39,1
^TYX,1,2.23,1
IKNOWFIRST_AVG,,4.17,
S&P500,,-1.26,
