Update Date,7/17/2016,,
Target Date,10/17/2016,,
Symbol,Prediction,Return (%),Accuracy
GOL,1,51.24,1
CPA,1,39.86,1
BCO,1,22.57,1
UNP,1,3.57,1
CNI,1,6.93,1
UAL,1,11.81,1
CSX,1,9.43,1
NSC,1,4.36,1
AAL,1,7.82,1
XPO,1,34.32,1
IKNOWFIRST_AVG,,19.19,
S&P500,,-1.63,
