Update Date,10/3/2016,,
Target Date,10/17/2016,,
Symbol,Prediction,Return (%),Accuracy
NKTR,-1,-8.79,1
IMGN,-1,-13.81,1
VICL,-1,-3.95,1
ACHN,-1,-13.7,1
TEVA,-1,-9.17,1
EW,-1,-4.16,1
XOMA,-1,-23.52,1
ACOR,-1,-5.17,1
INSY,-1,-7.72,1
NVAX,-1,-26.44,1
IKNOWFIRST_AVG,,11.64,
S&P500,,-1.93,
