Update Date,10/14/2015,,
Target Date,10/14/2016,,
Symbol,Prediction,Return (%),Accuracy
AMSC,1,30.26,1
NPTN,1,105.32,1
TSRA,1,17.53,1
APT,1,58.26,1
EBIX,1,127.75,1
MANH,1,-11.84,0
CSCO,1,12.1,1
YHOO,1,28.7,1
STV,1,-22.9,0
STX,1,-21.23,0
IKNOWFIRST_AVG,,32.4,
S&P500,,6.96,
